MATCH,MATCH2,PLAYER,TEAM,NAME,POS,PC ,PA ,PC/PA,PR,MIN,GS,SG,S,FC,FS,DC,D_IN_POSS,D_NOT_IN_POSS,T_OPP_HALF,T_ATT_3RD,T_PEN_AREA,SPRINT,MAX_SPEED,A_L,A_M,A_H,Goals_scored,Attempts_on_off_target,Assists,Offsides,Saves,Yellow_cards,Red_card,Fouls_committed,Delivery_solo_runs_attacking3rd,Delivery_solo_runs_penalty_area,Tackles_gaining_the_ball,Tackles_not_gaining_the_ball,Tackles_suffered_losing_the_ball,Tackles_suffered_not_losing_the_ball,Clearances_Completed,Clearances_Attempted,Total_time_played_mins,Low_activity_time_spent,Medium_activity_time_spent,High_activity_time_spent,Distance_covered_m,Low_ADC_m,Medium_ADC_m,High_ADC_m,Top_Speed,Sprints
46,46,13,CIV,ROMARIC,M ,53,69,77,48,79,1,4,4,2,1,9636,5115,3074,67,32,3,77,22.07,76,13,11,1,4,0,0,0,0,0,2,9,2,0,0,0,0,0,0,"78'36""",0.76,0.13,0.11,9636,5014,2003,2620,22.07,77
46,46,18,CIV,Kader KEITA,F ,32,41,78,35,64,0,1,2,1,1,6993,3896,2029,85,51,8,64,22.85,82,8,10,0,2,0,0,0,0,0,1,5,3,1,0,0,2,0,0,"64'00""",0.82,0.08,0.1,6993,4035,995,1963,22.85,64
46,46,19,CIV,Yaya TOURE,M ,66,86,77,75,90,1,1,3,2,2,11337,5983,3514,69,33,5,92,22.49,78,12,10,1,2,0,0,0,0,0,2,15,3,0,0,0,0,0,0,"95'14""",0.78,0.12,0.1,11337,6210,2308,2819,22.49,92
46,46,21,CIV,Emmanuel EBOUE,D ,69,86,80,64,90,0,0,2,0,0,11005,5369,3466,49,20,2,118,21.36,80,9,11,0,2,0,0,0,0,0,0,18,6,0,0,0,0,0,1,"95'14""",0.8,0.09,0.11,11005,6404,1731,2869,21.36,118
46,46,7,CIV,Seydou DOUMBIA,F ,3,4,75,3,11,0,0,0,0,0,1507,741,327,88,69,35,28,23.16,85,6,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"16'38""",0.85,0.06,0.09,1507,822,225,460,23.16,28
46,46,8,CIV,Salomon KALOU,F ,7,9,78,12,26,1,2,4,0,1,3301,1505,1090,80,52,14,42,22.81,83,6,11,1,3,0,1,0,0,0,0,3,0,1,0,0,0,0,0,"31'14""",0.83,0.06,0.11,3301,1817,399,1085,22.81,42
46,46,15,CIV,Aruna DINDANE,F ,16,20,80,16,26,0,0,0,2,1,3145,1557,964,83,53,12,38,22.71,85,6,9,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,"31'05""",0.85,0.06,0.09,3145,1826,408,911,22.71,38
45,45,1,POR,EDUARDO ,GK ,19,27,70,9,90,0,0,0,0,0,4708,1562,2004,,,,4,11.6,98,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,2,POR,BRUNO ALVES ,D ,29,40,73,29,90,0,0,1,0,0,9475,2774,4711,7,5,2,62,22.47,86,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,5,POR,DUDA ,D ,7,16,44,13,54,0,0,0,0,2,6469,2004,3291,43,16,2,96,21.29,78,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,
